module,attributes,sample,metric,score
aaa,asmt,non-smote,accuracy,0.9661016949152542
aaa,asmt,non-smote,fscore,0.0
aaa,asmt,non-smote,precision,0.0
aaa,asmt,non-smote,recall,0.0
aaa,stdnt,non-smote,accuracy,0.3389830508474576
aaa,stdnt,non-smote,fscore,0.05408970976253298
aaa,stdnt,non-smote,precision,0.82
aaa,stdnt,non-smote,recall,0.0407149950347567
aaa,abd,non-smote,accuracy,0.3505084745762712
aaa,abd,non-smote,fscore,0.05793285055957867
aaa,abd,non-smote,precision,0.88
aaa,abd,non-smote,recall,0.04417670682730924
aaa,abi,non-smote,accuracy,0.4528813559322034
aaa,abi,non-smote,fscore,0.052805280528052806
aaa,abi,non-smote,precision,0.8
aaa,abi,non-smote,recall,0.04778972520908005
aaa,asmt_stdnt,non-smote,accuracy,0.3410169491525424
aaa,asmt_stdnt,non-smote,fscore,0.05408970976253298
aaa,asmt_stdnt,non-smote,precision,0.82
aaa,asmt_stdnt,non-smote,recall,0.04083665338645418
aaa,asmt_abd,non-smote,accuracy,0.3511864406779661
aaa,asmt_abd,non-smote,fscore,0.05793285055957867
aaa,asmt_abd,non-smote,precision,0.88
aaa,asmt_abd,non-smote,recall,0.044221105527638194
aaa,asmt_abi,non-smote,accuracy,0.4535593220338983
aaa,asmt_abi,non-smote,fscore,0.052805280528052806
aaa,asmt_abi,non-smote,precision,0.8
aaa,asmt_abi,non-smote,recall,0.04784688995215311
aaa,stdnt_abd,non-smote,accuracy,0.3064406779661017
aaa,stdnt_abd,non-smote,fscore,0.05665349143610013
aaa,stdnt_abd,non-smote,precision,0.86
aaa,stdnt_abd,non-smote,recall,0.04060434372049103
aaa,stdnt_abi,non-smote,accuracy,0.3735593220338983
aaa,stdnt_abi,non-smote,fscore,0.052805280528052806
aaa,stdnt_abi,non-smote,precision,0.8
aaa,stdnt_abi,non-smote,recall,0.041928721174004195
aaa,asmt_stdnt_abd,non-smote,accuracy,0.30915254237288137
aaa,asmt_stdnt_abd,non-smote,fscore,0.05665349143610013
aaa,asmt_stdnt_abd,non-smote,precision,0.86
aaa,asmt_stdnt_abd,non-smote,recall,0.04075829383886256
aaa,asmt_stdnt_abi,non-smote,accuracy,0.37559322033898307
aaa,asmt_stdnt_abi,non-smote,fscore,0.052805280528052806
aaa,asmt_stdnt_abi,non-smote,precision,0.8
aaa,asmt_stdnt_abi,non-smote,recall,0.04206098843322818
bbb,asmt,non-smote,accuracy,0.8853485838779956
bbb,asmt,non-smote,fscore,0.0
bbb,asmt,non-smote,precision,0.0
bbb,asmt,non-smote,recall,0.0
bbb,stdnt,non-smote,accuracy,0.8587962962962963
bbb,stdnt,non-smote,fscore,0.012987012987012988
bbb,stdnt,non-smote,precision,0.057007125890736345
bbb,stdnt,non-smote,recall,0.16494845360824742
bbb,abd,non-smote,accuracy,0.7623910675381264
bbb,abd,non-smote,fscore,0.06558672461477677
bbb,abd,non-smote,precision,0.29572446555819476
bbb,abd,non-smote,recall,0.1777301927194861
bbb,abi,non-smote,accuracy,0.8187636165577342
bbb,abi,non-smote,fscore,0.04706820901475867
bbb,abi,non-smote,precision,0.21021377672209027
bbb,abi,non-smote,recall,0.2099644128113879
bbb,asmt_stdnt,non-smote,accuracy,0.8073257080610022
bbb,asmt_stdnt,non-smote,fscore,0.012449255751014885
bbb,asmt_stdnt,non-smote,precision,0.05463182897862233
bbb,asmt_stdnt,non-smote,recall,0.06917293233082707
bbb,asmt_abd,non-smote,accuracy,0.7429193899782135
bbb,asmt_abd,non-smote,fscore,0.06175771971496437
bbb,asmt_abd,non-smote,precision,0.27790973871733965
bbb,asmt_abd,non-smote,recall,0.154557463672391
bbb,asmt_abi,non-smote,accuracy,0.8133169934640523
bbb,asmt_abi,non-smote,fscore,0.045769026077700906
bbb,asmt_abi,non-smote,precision,0.2042755344418052
bbb,asmt_abi,non-smote,recall,0.1970217640320733
bbb,stdnt_abd,non-smote,accuracy,0.778322440087146
bbb,stdnt_abd,non-smote,fscore,0.0519893899204244
bbb,stdnt_abd,non-smote,precision,0.2327790973871734
bbb,stdnt_abd,non-smote,recall,0.166383701188455
bbb,stdnt_abi,non-smote,accuracy,0.8257080610021786
bbb,stdnt_abi,non-smote,fscore,0.04238304678128749
bbb,stdnt_abi,non-smote,precision,0.18883610451306412
bbb,stdnt_abi,non-smote,recall,0.21031746031746032
bbb,asmt_stdnt_abd,non-smote,accuracy,0.7604847494553377
